id,category_id,sub_id,question,image,answer_a,answer_b,answer_c,correct_answer,additional_info
34,1,34,Sygnał silniejszy o 3 dB to:,,sygnał o trzykrotnie większej mocy,sygnał o dziesięciokrotnie większej mocy,sygnał o dwukrotnie większej mocy,c,
35,1,35,"Na skali S-metru jedna jednostka odpowiada wzrostowi odbieranego sygnału o 6 dB. Aby sygnał odbierany przez naszego korespondenta wzrósł z S7 do S9, moc nadajnika należy zwiększyć:",,ośmiokrotnie,czterokrotnie,szesnastokrotnie,c,
36,1,36,"System antenowy dostarcza sygnał na poziomie -20dBm, jest on podłączony do przedwzmacniacza o wzmocnieniu 10dB kablem o tłumieniu 3dB. Jakiej mocy sygnał uzyskamy na wyjściu przedwzmacniacza?",,-13 dBm,-33 dBm,-27 dBm,a,
37,1,37,"Na wejście analizatora widma można bezpiecznie podać sygnał o mocy 20 dBm. Jakiego tłumika należy użyć, by nie uszkodzić przyrządu badając sygnał wyjściowy nadajnika o mocy 100 W:",,co najmniej 10 dB,co najmniej 30 dB,co najmniej 20 dB,b,
38,1,38,Jak przebiegają linie pola magnetycznego wytworzonego przez przewodnik z prądem?,,są równolegle do osi przewodu,przewodnik z prądem wytwarza tylko pole elektryczne,są równoległe do powierzchni przewodnika i prostopadłe do jego osi,c,
39,1,39,Niedopasowanie anteny do linii transmisyjnej powoduje powstanie fali stojącej i w konsekwencji:,,odbicia sygnału od miejsca niedopasowania i straty w linii transmisyjnej,może spowodować spalenie anteny,drgania fidera,a,
40,1,40,Nadajnik o mocy wyjściowej 100 W pobiera z zasilacza 280 W. Jego sprawność wynosi około:,,36%,64%,280%,a,
41,1,41,"Jaką moc PEP dostarcza nadajnik, jeśli napięcie międzyszczytowe (peak to peak) zmierzone oscyloskopem na sztucznym obciążeniu 50 Ω wynosi 200 V?",,200 W,100 W,50 W,b,
42,1,42,"Jaka powinna być częstotliwość próbkowania sygnału o maksymalnej częstotliwości składowej 50 kHz, aby poprawnie można było ten sygnał odtworzyć?",,minimum 50 kHz,minimum 100 kHz,minimum 500 kHz,b,
43,1,43,Rozdzielczość bitowa przetwornika ADC wpływa na:,,zakres dynamiki,szybkość próbkowania,pasmo przenoszenia,a,
44,1,44,Transformator sieciowy na napięcie 230V dostarcza po stronie wtórnej napięcia 23V przy maksymalnym prądzie 10A. Jakiego prądu można się spodziewać po stronie pierwotnej transformatora?,,2 A,1 A,10 A,b,
45,1,45,W tranzystorach polowych prąd drenu sterowany jest przez,,prąd bazy,"napięcie pomiędzy bramką, a źródłem",pojemność złączową,b,
46,1,46,Szeregowy obwód rezonansowy LC połączony w szereg z obciążeniem stanowi:,,filtr pasmowoprzepustowy,filtr pasmowozaporowy,filtr IIR,a,
47,1,47,"Jakie zalety sprawiają, że filtry kwarcowe stosowane są w torze p. cz.?",,duża stromość zboczy charakterystyki częstotliwościowej pozwala na uzyskanie dobrej selektywności,zafalowania charakterystyki częstotliwościowej w paśmie przenoszenia pozwalają na łatwą realizację funkcji automatycznej regulacji wzmocnienia,łatwość budowy filtru o przestrajanej częstotliwości środkowej pozwala stworzyć filtr podążający za częstotliwością VFO,a,
48,1,48,Element aktywny we wzmacniaczu przewodzi przez cały okres wzmacnianego sygnału. Wzmacniacz ten pracuje w klasie:,,A,B,C,a,
49,1,49,W jakim celu używana jest automatyczna kontrola poziomu (ALC) we wzmacniaczu mocy RF?,,aby zrównoważyć charakterystykę częstotliwościową nadajnika,aby zredukować promieniowanie harmonicznych,aby zmniejszyć zniekształcenia spowodowane nadmiernym wysterowaniem,c,
50,1,50,Efektem mieszania dwóch sygnałów o częstotliwościach: 5 MHz i 2 MHz jest:,,sygnał o częstotliwości 3 MHz,sygnał o częstotliwości 7 MHz,dwa sygnały o częstotliwości 3 MHz i 7 MHz,c,
51,1,51,"Który termin opisuje zdolność odbiornika do wyodrębnienia spośród różnych sygnałów doprowadzonych do wejścia odbiornika tylko sygnału o takiej częstotliwości, na którą jest nastrojony:",,współczynnik dyskryminacji,czułość,selektywność,c,
52,1,52,"Pewien ręczny radiotelefon VHF/UHF pozbawiony jest filtrów pasmowych w torze wejściowym. Podczas aktywacji jednego ze szczytów w ramach programu SOTA okazało się, że nie można odebrać sygnałów korespondentów, pomimo wykorzystania dobrej anteny dookólnej. Czym może być spowodowane to zjawisko?",,rozpraszaniem sygnału na śladach jonizacyjnych meteorów (meteor scatter),zmniejszeniem czułości odbiornika przez mocny sygnał nadajnika rozgłośni radiowej na sąsiedniej górze,silnymi podmuchami wiatru,b,
53,1,53,W odbiorniku superheterodynowym szumy fazowe oscylatora lokalnego mają wpływ na:,,pogorszenie stosunku sygnału do szumu,pływanie odbieranego sygnału telegraficznego,zmniejszenie sygnału audio,a,
54,1,54,"Czy antena typu delta, o długości promiennika ~41 m będzie poprawnie działała w paśmie 20 m?",,"nie, to jest antena jednopasmowa","tak, antena typu delta stroi się na kolejnych harmonicznych","tak, ale tylko jako odbiorcza",b,
55,1,55,Co stanie się kiedy nasz korespondent w paśmie 70 cm używa anteny o odmiennej polaryzacji niż nasza?,,wstęgi boczne modulacji mogą zostać odwrócone,sygnały mogą być znacznie słabsze,słyszymy efekt echa na sygnale,b,
56,1,56,Co oznacza pojęcie „stosunek przód-tył” w odniesieniu do anteny Yagi-Uda?,,stosunek liczby direktorów do reflektorów,stosunek mocy wypromieniowanej w kierunku głównego listka promieniowania do kierunku przeciwnego,stosunek mocy wypromieniowanej w przód anteny do dipola półfalowego,b,
57,1,57,Współczynnik skrócenia kabla koncentrycznego to:,,stosunek prędkości rozchodzenia się fali w kablu do prędkości rozchodzenia w próżni,stosunek długości kabla do jego średnicy,parametr charakteryzujący odporność kabla na promieniowanie UV,a,
58,1,58,Jakie znaczenie ma liczba plam słonecznych w odniesieniu do propagacji KF?,,wyższa liczba plam słonecznych generalnie wskazuje na większe prawdopodobieństwo dobrej propagacji na wyższych częstotliwościach,niższa liczba plam słonecznych ogólnie wskazuje na większe prawdopodobieństwo wystąpienia sporadycznej propagacji przez warstwę E.,"zerowa liczba plam słonecznych oznacza, że propagacja radiowa nie jest możliwa w żadnym paśmie",a,
59,1,59,Co oznacza skrót MUF?,,minimalna użyteczna częstotliwość dla komunikacji między dwoma punktami,maksymalna użyteczna częstotliwość do komunikacji między dwoma punktami,minimalna użyteczna częstotliwość na następne 24 godziny,b,
60,1,60,"Ile mocy zostaje wypromieniowane przez antenę, jeśli miernik mocy podłączony pomiędzy nadajnik a antenę wskazuje 100 W mocy padającej i 30 W mocy odbitej?",,130 W,70 W,30 W,b,
61,1,61,Jaka jest przewaga wektorowego analizatora antenowego (VNA) nad miernikiem SWR (reflektometrem)?,,miernik SWR wymaga określonej częstotliwości do działania,analizator nie potrzebuje dodatkowego zasilania zasilając się z sygnału w.cz z nadajnika,analizator jest w stanie wykazać składową indukcyjną lub pojemnościową badanej anteny oraz określić miejsce rezonansu,c,
62,1,62,Który parametr ma największy wpływ na dokładność miernika częstotliwości?,,dokładność tłumika wejściowego,dokładność generatora wzorcowego,dokładność kalibracji dzielnika częstotliwości,b,
63,1,63,Co jest dobrą praktyką przy pomiarach obwodów wielkiej częstotliwości za pomocą oscyloskopu?,,utrzymanie jak najkrótszego połączenia uziemienia sondy,nieużywanie sprzężenia stałoprądowego do pomiarów sygnałów przemiennych,ustawianie oscyloskopu na możliwie najkrótszą podstawę czasu,a,
64,1,64,"Proces, który zachodzi w nieliniowym elemencie lub układzie elektronicznym, kiedy składowe widma sygnału oddziałują na siebie tworząc fałszywe sygnały to:",,demodulacja,tłumienie,intermodulacja,c,
65,1,65,Co jest jednostką impedancji?,,farad,om,herc,b,
66,1,66,Czy opór elektryczny przewodu zależy od materiału z którego jest wykonany?,,zależy,nie zależy,zależy od izolacji przewodu,a,
67,1,67,Izolatorami nazywamy materiały które:,,nie przewodzą prądu elektrycznego,przewodzą słabo,przewodzą prąd przy wysokim napięciu,a,
68,1,68,Który przewód o tej samej długości i przekroju będzie miał najmniejszą oporność?,,wykonany z aluminium,wykonany z żelaza,wykonany z miedzi,c,
69,1,69,Który z materiałów ma własności półprzewodnikowe?,,złoto,german,platyna,b,
70,1,70,"Żarówka 12 V pobiera z baterii 0,1 A. Jaką oporność ma żarówka?",,oporność 120 Ω,oporność 12 Ω,"oporność 1,2 Ω",a,
71,1,71,Żarówka ma moc 24 W i pobiera z akumulatora 2 A. Jakie jest napięcie akumulatora?,,napięcie wynosi 24 V,napięcie wynosi 12 V,napięcie wynosi 48 V,b,
72,1,72,"Ferromagnetyki to materiały, których przenikalność magnetyczna jest:",,większa niż przenikalność magnetyczna powietrza,mniejsza niż przenikalność magnetyczna powietrza,równa przenikalności magnetycznej powietrza,a,
73,1,73,"Czy prędkość fali elektromagnetycznej zależy od ośrodka, w którym się rozchodzi?",,tak,nie zależy,zależy jedynie od temperatury ośrodka,a,
74,1,74,Długość fali elektromagnetycznej rozchodzącej się w powietrzu wynosi 1500 metrów. Jaka jest częstotliwość tej fali?,,2 MHz,200 kHz,233 kHz,b,
75,1,75,Jaki minimalny zakres częstotliwości dźwięków wystarcza dla zrozumiałego nadawania mowy?,,od 300 Hz do 3 kHz,od 100 Hz do 5 kHz,od 20 Hz do 15 kHz,a,
76,1,76,Modulacja telegraficzna CW polega na:,,przerywaniu fali nośnej,zmianie jej częstotliwości,zmianie jej fazy,a,
77,1,77,Emisja CW jest emisją:,,wąskopasmową,szerokopasmową,z modulacją fazy,a,
78,1,78,Powszechnie używana szerokość kanału FM w paśmie 2 m to:,,"12,5 kHz",50 kHz,200 kHz,a,
79,1,79,Powszechnie używana szerokość kanału przy emisji SSB to:,,9 kHz,"2,7 kHz","1,5 kHz",b,
80,1,80,"Która z podanych mocy PEP odpowiada napięciu maksymalnemu Umax = 100 V, zmierzonemu oscyloskopem na wyjściu nadajnika, na obciążeniu 50Ω?",,200 W,100 W,50 W,b,
81,1,81,Do cewki powietrznej 100 μH wkładamy rdzeń ferrytowy o względnej przenikalności μ = 10. Ile wyniesie indukcyjność cewki?,,wzrośnie do 1000 μH,nie zmieni się,zmaleje do 10 μH,a,
82,1,82,"Są dwie cewki powietrzne. Przy tej samej średnicy i liczbie zwojów, L1 jest nawinięta drutem dwa razy grubszym niż L2. Która z nich ma większą dobroć Q?",,cewka L1,cewka L2,"obie mają taką samą dobroć, bo mają tą samą średnicę",a,
83,1,83,Przekładnia transformatora wynosi 20 do 1. Strona pierwotna włączona jest na napięcie sieci 240 V. Jakie napięcie będzie po stronie wtórnej?,,24 V,12 V,20 V,b,
84,1,84,Diody prostownicze są stosowane do:,,do eliminacji tętnień zasilacza,do prostowania prądu w zasilaczach,do stabilizacji napięć,b,
85,1,85,Diody Zenera to diody:,,służące do stabilizacji napięć,świecące,na bardzo wysokie częstotliwości,a,
86,1,86,Warikap to:,,dioda mikrofalowa,dioda pojemnościowa,dioda stabilizacyjna,b,
87,1,87,Lampa elektronowa pentoda posiada:,,pięć elektrod,cztery elektrody,trzy elektrody,a,
88,1,88,Cztery oporniki o wartościach 5 Ω zostały połączone szeregowo. Ile wynosi oporność zastępcza?,,10 Ω,20 Ω,40 Ω,b,
89,1,89,Ile oporników bezindukcyjnych o wartości 200 Ω należy połączyć równolegle by uzyskać sztuczne obciążenie antenowe 50 Ω?,,5 szt.,2 szt.,4 szt.,c,
90,1,90,Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?,A_1_091.png,prostownik dwupołówkowy,prostownik jednopołówkowy,prostownik mostkowy dwupołówkowy,b,
91,1,91,Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?,A_1_092.png,prostownik dwupołówkowy,prostownik jednopołówkowy,prostownik mostkowy dwupołówkowy,a,
92,1,92,Wzmacniacz wzmacnia sygnały w zakresie od 100Hz do 10 kHz. Wzmacniacz ten nazywamy wzmacniaczem:,,niskiej częstotliwości,wzmacniaczem pośredniej częstotliwości,wzmacniaczem selektywnym,a,
93,1,93,Wzmacniacz jest przesterowany kiedy:,,ma za duże napięcie zasilania,ma za duże napięcie wejściowe,pracuje w klasie C,b,
94,1,94,W jakiej klasie powinien pracować wzmacniacz w.cz. do wzmacniania sygnału SSB?,,w klasie C,w klasie AB,impulsowo,b,
95,1,95,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych, ale nieopisanych bloków. Blok 1 to:",A_1_096.png,generator stabilizowany,komparator,dzielnik wzorca,a,
96,1,96,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych, ale nieopisanych bloków. Blok 4 to:",A_1_097.png,dzielnik wzorca,generator wzorca,komparator,b,
97,1,97,Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 1 to:,A_1_098.png,filtr wejściowy,wzmacniacz akustyczny,detektor AM,a,
98,1,98,Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 5 to:,A_1_099.png,heterodyna,wzmacniacz akustyczny,detektor AM,b,
99,1,99,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 1 to:",A_1_100.png,wzmacniacz w.cz.,wzmacniacz akustyczny,detektor AM CW SSB,a,
100,1,100,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 9 to:",A_1_101.png,wzmacniacz akustyczny,wzmacniacz pośredniej cz.,heterodyna,a,
101,1,101,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 1 to:",A_1_102.png,filtr wejściowy,wzmacniacz akustyczny,heterodyna,a,
102,1,102,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 2 to:",A_1_103.png,wzmacniacz akustyczny,I mieszacz,wzmacniacz II p.cz.,b,
103,1,103,Jaka powinna być stabilność heterodyny w odbiorniku komunikacyjnym? Częstotliwość heterodyny na najwyższym zakresie po włączeniu odbiornika powinna zmieniać się nie więcej jak:,,a. o 200 Hz,a. o 500 Hz,a. o 1000 Hz,
104,1,104,Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 4 to:,A_1_105.png,filtr wyjściowy,wzmacniacz mocy (PA),separator,a,
105,1,105,Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 1 to:,A_1_106.png,wzmacniacz mocy (PA),oscylator (VFO),separator,b,
106,1,106,Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 1 to:,A_1_107.png,wzmacniacz mocy (PA),"oscylator (VFO) 5 - 5,5 MHz",wzbudnica SSB 9 MHz,c,
107,1,107,Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 2 to:,A_1_108.png,wzmacniacz sterujący,mieszacz,filtr wyjściowy,b,
108,1,108,Jaka jest horyzontalna charakterystyka promieniowania dipola półfalowego zawieszonego poziomo w wolnej przestrzeni?,,dookólna,ósemkowa,kierunkowa w linii zawieszenia,b,
109,1,109,Jaka jest horyzontalna charakterystyka promieniowania pionowej anteny ćwierćfalowej?,,dookólna,kierunkowa,w kształcie koniczyny,a,
110,1,110,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 1 to:,A_1_111.png,reflektor,wibrator,I direktor,a,
111,1,111,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 2 to:,A_1_112.png,wibrator,II direktor,reflektor,a,
112,1,112,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 3 to:,A_1_113.png,wibrator,I direktor,II direktor,b,
113,1,113,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 4 to:,A_1_114.png,I direktor,II direktor,wibrator,b,
114,1,114,W jakim przypadku powstaje w linii przesyłowej w.cz. fala stojąca?,,kiedy kabel nie jest ułożony prosto,kiedy obok kabla koncentrycznego przechodzi inny kabel,kiedy impedancja obciążenia nie jest zgodna z impedancją falową kabla,c,
115,1,115,Jak nazywa się przyrząd do mierzenia współczynnika fali stojącej?,,rezystomierz,reflektometr,refraktometr,b,
116,1,116,"Reflektometr wskazuje, że amplituda fali padającej jest równa amplitudzie fali odbitej. Współczynnik fali stojącej równy jest nieskończoności. Co może być przyczyną takiego stanu?",,zwarcie lub przerwa w kablu,niewielka zmiana oporności falowej anteny,zamoczenie izolacji w kablu,a,
117,1,117,Niesymetryczny kabel koncentryczny 50 Ω do symetrycznej anteny o oporności falowej 50 Ω najlepiej połączyć za pomocą:,,ununa 9:1,baluna 1:1 (symetryzatora),baluna 1:2,b,
118,1,118,Czy stan jonosfery ma wpływ na rozchodzenie się fal krótkich?,,słaby,"tylko okresowo, w dzień",ma bardzo duży wpływ,c,
119,1,119,Około 11-letnie cykle zmian propagacji związane są z:,,cyklem słonecznym,cyklem przebiegunowania Ziemi,fluktuacjami średniego poziomu morza,a,
120,1,120,Co to jest zasięg horyzontalny na UKF?,,zasięg wyznaczony linią horyzontu radiowego,zasięg obliczony z mocy promieniowanej e.i.r.p.,zasięg teoretyczny nadajnika,a,
121,1,121,Dalekie rozchodzenie się fal UKF podczas inwersji temperaturowej zawdzięczamy:,,wielokrotnemu odbijaniu się fal od ciepłej ziemi,odbijaniu się fal radiowych od podstawy chmur wysokich,prowadzeniu fal przez dukty powstałe z warstw ciepłego i zimnego powietrza,c,
122,1,122,Skrót EME oznacza łączności:,,z wykorzystaniem odbicia sygnału od Księżyca,wykorzystaniem do łączności siły elektromotorycznej SEM,za pomocą elektromagnetycznej emisji EME na UKF,a,
123,1,123,Jak w warunkach amatorskich zmierzyć moc wyjściową nadajnika?,,poprzez pomiar napięcia za pomocą sondy w.cz. na oporze sztucznej anteny 50 Ω i obliczenie,poprzez pomiar prądu i napięcia stałego doprowadzonego do stopnia mocy (PA),poprzez uzyskanie raportu od korespondenta,a,
124,1,124,Jakim przyrządem mierzymy dopasowanie anteny do nadajnika?,,miernikiem zniekształceń nieliniowych,sprawdzeniem czy kabel się nie grzeje,za pomocą reflektometru,c,
125,1,125,Jak zwalczyć zakłócenia rozprowadzane siecią energetyczną?,,przez stosowanie grubych przewodów,"przez stosowanie filtrów sieciowych, ekranowanie urządzeń i odpowiednią konstrukcję urządzeń",przez zastosowanie zabezpieczenia różnicowoprądowego,b,
126,1,126,"Jeżeli nadajnik amatorski powoduje zakłócenia, to jakie elementy sprawdzamy w pierwszej kolejności?",,prawidłowe działanie mikrofonu,blokadę szumów odbiornika,"liniowość stopnia mocy (PA), filtr wyjściowy, uziemienie radiostacji",c,
127,1,127,Jeżeli nadajnik promieniuje energię w.cz. poprzez sieć zasilającą to stosujemy:,,filtr w.cz. na wyjściu antenowym nadajnika,dławnicę kablową,uziemiamy obudowę i włączamy filtr sieciowy w zasilanie,c,
128,1,128,Jaka instytucja zajmuje się lokalizowaniem zakłóceń radiowych i radioelektrycznych oraz badaniem sprzętu radionadawczego?,,Urząd Komunikacji Elektronicznej,Ministerstwo Ochrony Środowiska,sztaby antykryzysowe,a,
129,1,129,W obwodzie prądu stałego przez opornik 1000 Ω płynie prąd 2 mA. Jaki jest spadek napięcia na oporze?,,spadek wynosi 500 V,spadek wynosi 2000 V,spadek wynosi 2 V,c,
130,1,130,"Akumulator ma napięcie 6,5 V. Do akumulatora chcemy podłączyć żarówkę 3,5 V 0,3 A. Jaki opornik należy włączyć w szereg by ograniczyć prąd?",,"opornik 3,5 Ω",opornik 100 Ω,opornik 10 Ω,c,
131,1,131,Jakie napięcie występuje na oporze 50 Ω przy dostarczeniu do niego mocy 200 W?,,100 V,200 V,50 V,a,
132,1,132,Dobierz optymalnie moc nominalną (znamionową) rezystora 100 Ω w przypadku w którym płynący przez niego prąd wywołuje na nim spadek napięcia 3V.,,1 W,"0,125 W","0,5 W",b,
133,1,133,"Jaka jest częstotliwość prądu zmiennego, którego okres wynosi 0,02 s?",,100 Hz,50 Hz,60 Hz,b,
134,1,134,Wartość amplitudy napięcia sinusoidalnego wynosi 200 V. Jaka jest wartość skuteczna napięcia?,,200 V,400 V,"141,4 V",c,
135,1,135,Napięcie międzyszczytowe sinusoidalnego prądu zmiennego wynosi 678 V. Ile wynosi wartość skuteczna tego napięcia?,,340 V,240 V,680 V,b,
136,1,136,"Siła elektromotoryczna ogniwa wynosi 1,5 V. Oporność wewnętrzna ogniwa wynosi 0,1Ω. Z ogniwa pobieramy prąd 1 A. Jakie będzie napięcie na zaciskach ogniwa?",,"1,5 V",1 V,"1,4 V",c,
137,1,137,Pole elektryczne może być ekranowane za pomocą:,,ekranów z blach,ekranów z izolatorów,ekranów z włókna szklanego,a,
138,1,138,Dlaczego rdzenie transformatorów wykonywane są z blaszek?,,ze względu na lepsze chłodzenie,ze względu na łatwiejsze wykonanie,ze względu na mniejsze straty wynikające z prądów wirowych,c,
139,1,139,Fala elektromagnetyczna ma dwie składowe. Zaznacz która kombinacja jest poprawna:,,składowa elektryczna i składowa prędkości,składowa elektryczna i składowa magnetyczna,składowa magnetyczna i składowa prędkości,b,
